nationality,year,month,arrivals,annual_nationality_total,ad_year,month_num,date,monthly_share_pct
Thailand,2020,Sep,0.0,20778.0,2020.0,9.0,2020-09-01,0.0
Spain,2020,Sep,8.0,1625.0,2020.0,9.0,2020-09-01,1.4732965009208103
South Korea,2020,Sep,10.0,6944.0,2020.0,9.0,2020-09-01,1.841620626151013
Italy,2020,Sep,1.0,1599.0,2020.0,9.0,2020-09-01,0.1841620626151013
China,2020,Sep,56.0,19257.0,2020.0,9.0,2020-09-01,10.313075506445673
UK,2020,Sep,79.0,11762.0,2020.0,9.0,2020-09-01,14.548802946593002
Canada,2020,Sep,9.0,3102.0,2020.0,9.0,2020-09-01,1.6574585635359116
Japan,2020,Sep,6.0,5599.0,2020.0,9.0,2020-09-01,1.1049723756906076
USA,2020,Sep,126.0,17767.0,2020.0,9.0,2020-09-01,23.204419889502763
Myanmar,2020,Sep,0.0,20911.0,2020.0,9.0,2020-09-01,0.0
Others,2020,Sep,196.0,38908.0,2020.0,9.0,2020-09-01,36.095764272559855
Netherlands,2020,Oct,29.0,2563.0,2020.0,10.0,2020-10-01,1.5119916579770596
China,2020,Oct,115.0,19257.0,2020.0,10.0,2020-10-01,5.995828988529719
Thailand,2020,Oct,29.0,20778.0,2020.0,10.0,2020-10-01,1.5119916579770596
Bangladesh,2020,Oct,5.0,4917.0,2020.0,10.0,2020-10-01,0.2606882168925964
France,2020,Oct,53.0,4540.0,2020.0,10.0,2020-10-01,2.7632950990615224
Sri Lanka,2020,Oct,50.0,13328.0,2020.0,10.0,2020-10-01,2.6068821689259645
Spain,2020,Oct,10.0,1625.0,2020.0,10.0,2020-10-01,0.5213764337851928
UK,2020,Oct,284.0,11762.0,2020.0,10.0,2020-10-01,14.80709071949948
USA,2020,Oct,399.0,17767.0,2020.0,10.0,2020-10-01,20.802919708029197
Japan,2020,Oct,49.0,5599.0,2020.0,10.0,2020-10-01,2.5547445255474455
South Korea,2020,Oct,15.0,6944.0,2020.0,10.0,2020-10-01,0.7820646506777894
Malaysia,2020,Oct,2.0,3460.0,2020.0,10.0,2020-10-01,0.10427528675703858
Myanmar,2020,Oct,1.0,20911.0,2020.0,10.0,2020-10-01,0.05213764337851929
Australia,2020,Oct,49.0,6793.0,2020.0,10.0,2020-10-01,2.5547445255474455
Italy,2020,Oct,13.0,1599.0,2020.0,10.0,2020-10-01,0.6777893639207508
Germany,2020,Oct,50.0,5896.0,2020.0,10.0,2020-10-01,2.6068821689259645
Canada,2020,Oct,46.0,3102.0,2020.0,10.0,2020-10-01,2.398331595411887
Others,2020,Oct,719.0,38908.0,2020.0,10.0,2020-10-01,37.48696558915537
